ogc_fid,id,cd_mun,nm_mun,sigla_uf,area_km2,mean,min,max,sum,std,median
400,371.0,3532868,Nova Castilho,SP,183.396,0.0,0.0,0.0,0.0,0.0,0.0
401,372.0,3532900,Nova Europa,SP,160.25,0.0,0.0,0.0,0.0,0.0,0.0
402,373.0,3533007,Nova Granada,SP,531.796,0.0,0.0,0.0,0.0,0.0,0.0
403,496.0,3544202,RiolÃ¢ndia,SP,631.897,0.0,0.0,0.0,0.0,0.0,0.0
404,377.0,3533304,Nova LuzitÃ¢nia,SP,73.816,0.0,0.0,0.0,0.0,0.0,0.0
405,378.0,3533403,Nova Odessa,SP,73.788,0.0,0.0,0.0,0.0,0.0,0.0
406,379.0,3533502,Novo Horizonte,SP,931.743,0.0,0.0,0.0,0.0,0.0,0.0
407,380.0,3533601,Nuporanga,SP,348.265,0.0,0.0,0.0,0.0,0.0,0.0
408,381.0,3533700,OcauÃ§u,SP,301.036,0.0,0.0,0.0,0.0,0.0,0.0
409,382.0,3533809,Ãleo,SP,198.938,0.0,0.0,0.0,0.0,0.0,0.0
410,383.0,3533908,OlÃ­mpia,SP,802.555,0.0,0.0,0.0,0.0,0.0,0.0
411,384.0,3534005,Onda Verde,SP,242.946,0.0,0.0,0.0,0.0,0.0,0.0
412,385.0,3534104,Oriente,SP,218.668,0.0,0.0,0.0,0.0,0.0,0.0
413,386.0,3534203,OrindiÃºva,SP,247.378,0.0,0.0,0.0,0.0,0.0,0.0
414,547.0,3548906,SÃ£o Carlos,SP,1136.907,0.0,0.0,0.0,0.0,0.0,0.0
415,387.0,3534302,OrlÃ¢ndia,SP,291.765,0.0,0.0,0.0,0.0,0.0,0.0
416,388.0,3534401,Osasco,SP,64.954,0.0,0.0,0.0,0.0,0.0,0.0
417,389.0,3534500,Oscar Bressane,SP,222.13,0.0,0.0,0.0,0.0,0.0,0.0
418,390.0,3534609,Osvaldo Cruz,SP,248.038,0.0,0.0,0.0,0.0,0.0,0.0
419,391.0,3534708,Ourinhos,SP,295.818,0.0,0.0,0.0,0.0,0.0,0.0
420,392.0,3534757,Ouroeste,SP,288.648,0.0,0.0,0.0,0.0,0.0,0.0
421,393.0,3534807,Ouro Verde,SP,266.778,0.0,0.0,0.0,0.0,0.0,0.0
422,394.0,3534906,Pacaembu,SP,339.375,0.0,0.0,0.0,0.0,0.0,0.0
423,395.0,3535002,Palestina,SP,697.701,0.0,0.0,0.0,0.0,0.0,0.0
424,573.0,3551306,SebastianÃ³polis do Sul,SP,167.848,0.0,0.0,0.0,0.0,0.0,0.0
425,574.0,3551405,Serra Azul,SP,283.144,0.0,0.0,0.0,0.0,0.0,0.0
426,575.0,3551504,Serrana,SP,126.046,0.0,0.0,0.0,0.0,0.0,0.0
427,576.0,3551603,Serra Negra,SP,203.734,0.0,0.0,0.0,0.0,0.0,0.0
428,577.0,3551702,SertÃ£ozinho,SP,403.089,0.0,0.0,0.0,0.0,0.0,0.0
429,578.0,3551801,Sete Barras,SP,1062.699,0.0037686136744966444,0.0,0.0732421875,0.5615234375,0.011654134098743597,0.0
